#Frame         Rg_all  Rg_all[Max]
       2      17.4370      35.8924
       4      17.4382      35.7441
       6      17.4421      35.6611
       8      17.4391      35.2804
      10      17.4406      35.4026
      12      17.4440      35.5585
      14      17.4352      35.5074
      16      17.4418      35.3170
      18      17.4394      35.5401
      20      17.4435      35.5238
      22      17.4315      35.5127
      24      17.4425      35.5903
      26      17.4430      35.2388
      28      17.4396      35.5064
      30      17.4283      35.3702
      32      17.4436      35.6026
      34      17.4436      35.6963
      36      17.4383      35.4123
      38      17.4361      35.4413
      40      17.4416      35.4964
      42      17.4445      35.6487
      44      17.4352      35.6557
      46      17.4451      35.7342
      48      17.4497      35.4780
      50      17.4425      35.5178
      52      17.4508      35.4301
      54      17.4333      35.6662
      56      17.4426      35.6638
      58      17.4329      35.4945
      60      17.4392      35.6549
      62      17.4503      35.5262
      64      17.4567      35.8649
      66      17.4408      35.7558
      68      17.4412      35.5666
      70      17.4482      35.7153
      72      17.4429      35.3194
      74      17.4412      35.6986
      76      17.4449      35.5363
      78      17.4430      35.6187
      80      17.4451      35.4519
      82      17.4491      35.4187
      84      17.4377      35.5048
      86      17.4486      35.5580
      88      17.4459      35.6012
      90      17.4388      35.3643
      92      17.4402      35.3507
      94      17.4446      35.5364
      96      17.4468      35.5518
      98      17.4419      35.4630
     100      17.4394      35.7697
     102      17.4348      35.4298
     104      17.4424      35.6812
     106      17.4332      35.5095
     108      17.4383      35.5980
     110      17.4391      35.4597
     112      17.4492      35.5777
     114      17.4462      35.3271
     116      17.4503      35.5220
     118      17.4412      35.4769
     120      17.4364      35.6809
     122      17.4415      35.7472
     124      17.4433      35.6837
     126      17.4382      35.5992
     128      17.4477      35.8005
     130      17.4407      35.2924
     132      17.4433      35.5791
     134      17.4453      35.5170
     136      17.4327      35.5841
     138      17.4371      35.6078
     140      17.4365      35.3218
     142      17.4414      35.7643
     144      17.4510      35.7633
     146      17.4397      35.5439
     148      17.4426      35.4628
     150      17.4466      35.7655
     152      17.4501      35.4024
     154      17.4391      35.6108
     156      17.4377      35.6057
     158      17.4387      35.4126
     160      17.4486      35.4952
     162      17.4389      35.5484
     164      17.4389      35.4746
     166      17.4370      35.5810
     168      17.4402      35.8250
     170      17.4522      35.4057
     172      17.4489      35.7559
     174      17.4322      35.2292
     176      17.4469      35.4998
     178      17.4526      35.6492
     180      17.4401      35.5708
     182      17.4505      35.5332
     184      17.4406      35.3886
     186      17.4438      35.8328
     188      17.4460      35.3058
     190      17.4432      35.6874
     192      17.4458      35.4927
     194      17.4392      35.5408
     196      17.4390      35.6229
     198      17.4498      35.4916
     200      17.4433      35.4625
     202      17.4430      35.5596
     204      17.4416      35.6144
     206      17.4464      35.4903
     208      17.4419      35.2865
     210      17.4373      35.4912
     212      17.4480      35.5822
     214      17.4426      35.6524
     216      17.4289      35.5785
     218      17.4538      35.5009
     220      17.4382      35.4075
     222      17.4435      35.6874
     224      17.4405      35.6290
     226      17.4376      35.5150
     228      17.4468      35.5202
     230      17.4378      35.6267
     232      17.4372      35.6438
     234      17.4479      35.6995
     236      17.4423      35.3602
     238      17.4372      35.6330
     240      17.4431      35.6597
     242      17.4461      35.5674
     244      17.4521      35.7239
     246      17.4469      35.6091
     248      17.4271      35.4731
     250      17.4429      35.7104
     252      17.4413      35.3317
     254      17.4382      35.4109
     256      17.4408      35.6202
     258      17.4356      35.5010
     260      17.4503      35.6797
     262      17.4441      35.3847
     264      17.4317      35.6446
     266      17.4452      35.8980
     268      17.4491      35.5994
     270      17.4499      35.7956
     272      17.4498      35.6824
     274      17.4475      35.3967
     276      17.4407      35.5652
     278      17.4395      35.4749
     280      17.4415      35.3951
     282      17.4485      35.5335
     284      17.4457      35.5545
     286      17.4379      35.5642
     288      17.4413      35.5372
     290      17.4367      35.5919
     292      17.4368      35.5633
     294      17.4334      35.6480
     296      17.4347      35.6048
     298      17.4345      35.5768
     300      17.4507      35.7938
     302      17.4471      35.3227
     304      17.4317      35.6521
     306      17.4526      35.6927
     308      17.4473      35.5166
     310      17.4448      35.6295
     312      17.4478      35.9117
     314      17.4403      35.8380
     316      17.4302      35.8031
     318      17.4418      35.6043
     320      17.4421      35.5388
     322      17.4412      35.6140
     324      17.4371      35.7262
     326      17.4322      35.5309
     328      17.4383      35.7204
     330      17.4396      35.6885
     332      17.4475      35.3719
     334      17.4421      35.2342
     336      17.4476      35.3455
     338      17.4457      35.7690
     340      17.4484      35.4663
     342      17.4426      35.6123
     344      17.4384      35.6097
     346      17.4349      35.4551
     348      17.4402      35.5824
     350      17.4360      35.3565
     352      17.4353      35.2708
     354      17.4459      35.5008
     356      17.4454      35.5168
     358      17.4427      35.6387
     360      17.4396      35.3422
     362      17.4464      35.4589
     364      17.4348      35.8271
     366      17.4522      35.5625
     368      17.4423      35.5363
     370      17.4382      35.5796
     372      17.4359      35.5333
     374      17.4474      35.3533
     376      17.4384      35.5205
     378      17.4506      35.5267
     380      17.4460      35.3108
     382      17.4525      35.6772
     384      17.4439      35.8604
     386      17.4429      35.4439
     388      17.4433      35.6943
     390      17.4500      35.5618
     392      17.4472      35.4444
     394      17.4454      35.3278
     396      17.4489      35.4726
     398      17.4473      35.5099
     400      17.4356      35.5432
     402      17.4368      35.4480
     404      17.4418      35.6079
     406      17.4430      35.7284
     408      17.4467      35.7985
     410      17.4460      35.6614
     412      17.4415      35.4317
     414      17.4434      35.4848
     416      17.4459      35.5709
     418      17.4472      35.5494
     420      17.4415      35.7795
     422      17.4428      35.4203
     424      17.4395      35.5120
     426      17.4434      35.5338
     428      17.4450      35.5641
     430      17.4340      35.3049
     432      17.4332      35.5178
     434      17.4345      35.4449
     436      17.4505      35.5308
     438      17.4343      35.8435
     440      17.4368      35.7140
     442      17.4417      35.5884
     444      17.4405      35.7388
     446      17.4415      35.5348
     448      17.4446      35.5937
     450      17.4458      35.7086
     452      17.4551      35.7979
     454      17.4389      35.4649
     456      17.4490      35.7224
     458      17.4501      35.6390
     460      17.4396      35.7582
     462      17.4360      35.7601
