#Frame      BB_to_ref
       2       0.1963
       4       0.1965
       6       0.1946
       8       0.1969
      10       0.1961
      12       0.1991
      14       0.1929
      16       0.1966
      18       0.1973
      20       0.1938
      22       0.1974
      24       0.1967
      26       0.1997
      28       0.1957
      30       0.2008
      32       0.1896
      34       0.1949
      36       0.1965
      38       0.2005
      40       0.1970
      42       0.1914
      44       0.2034
      46       0.1962
      48       0.1967
      50       0.1939
      52       0.2027
      54       0.1962
      56       0.1982
      58       0.1948
      60       0.1948
      62       0.1940
      64       0.1945
      66       0.1944
      68       0.1906
      70       0.1960
      72       0.1962
      74       0.1925
      76       0.1977
      78       0.1912
      80       0.1971
      82       0.1974
      84       0.2036
      86       0.2006
      88       0.1996
      90       0.1946
      92       0.1907
      94       0.1951
      96       0.1966
      98       0.2080
     100       0.2007
     102       0.1992
     104       0.2014
     106       0.1961
     108       0.1966
     110       0.1983
     112       0.1935
     114       0.1949
     116       0.1957
     118       0.1980
     120       0.1946
     122       0.2013
     124       0.2017
     126       0.1947
     128       0.1890
     130       0.1972
     132       0.1991
     134       0.1934
     136       0.2029
     138       0.2029
     140       0.1960
     142       0.2040
     144       0.1985
     146       0.2005
     148       0.2018
     150       0.1992
     152       0.1956
     154       0.2001
     156       0.1952
     158       0.1965
     160       0.1960
     162       0.1929
     164       0.1972
     166       0.2007
     168       0.2040
     170       0.1963
     172       0.2029
     174       0.2072
     176       0.1989
     178       0.2021
     180       0.1982
     182       0.2025
     184       0.1932
     186       0.2016
     188       0.2003
     190       0.2034
     192       0.2047
     194       0.1948
     196       0.1996
     198       0.2048
     200       0.2008
     202       0.1987
     204       0.2014
     206       0.1966
     208       0.2062
     210       0.1964
     212       0.1998
     214       0.1997
     216       0.1990
     218       0.1980
     220       0.2003
     222       0.1975
     224       0.1983
     226       0.2038
     228       0.1998
     230       0.2011
     232       0.1983
     234       0.1967
     236       0.2065
     238       0.2086
     240       0.2034
     242       0.1975
     244       0.1972
     246       0.1970
     248       0.1959
     250       0.2033
     252       0.2029
     254       0.2021
     256       0.1936
     258       0.2001
     260       0.2009
     262       0.2026
     264       0.2007
     266       0.2010
     268       0.2051
     270       0.1958
     272       0.2028
     274       0.1980
     276       0.1984
     278       0.1979
     280       0.2032
     282       0.2034
     284       0.1981
     286       0.1995
     288       0.2033
     290       0.2008
     292       0.2099
     294       0.2013
     296       0.1978
     298       0.2053
     300       0.2083
     302       0.2084
     304       0.2044
     306       0.1986
     308       0.2007
     310       0.2011
     312       0.2028
     314       0.2045
     316       0.2017
     318       0.2065
     320       0.2070
     322       0.2036
     324       0.2041
     326       0.2034
     328       0.2037
     330       0.2076
     332       0.2057
     334       0.1968
     336       0.2044
     338       0.2037
     340       0.2092
     342       0.2044
     344       0.2033
     346       0.2090
     348       0.2064
     350       0.2009
     352       0.2071
     354       0.2008
     356       0.2035
     358       0.2030
     360       0.1953
     362       0.2050
     364       0.2005
     366       0.2099
     368       0.2031
     370       0.2085
     372       0.2007
     374       0.2028
     376       0.2036
     378       0.2034
     380       0.1999
     382       0.2004
     384       0.2066
     386       0.2019
     388       0.2029
     390       0.2049
     392       0.2096
     394       0.1997
     396       0.2093
     398       0.2106
     400       0.2015
     402       0.2102
     404       0.2041
     406       0.2047
     408       0.2035
     410       0.2039
     412       0.2043
     414       0.2100
     416       0.2026
     418       0.2070
     420       0.2076
     422       0.2054
     424       0.2029
     426       0.2072
     428       0.2082
     430       0.2044
     432       0.2056
     434       0.2107
     436       0.1976
     438       0.2096
     440       0.2090
     442       0.2015
     444       0.2009
     446       0.2020
     448       0.2066
     450       0.2079
     452       0.2036
     454       0.2069
     456       0.2069
     458       0.2050
     460       0.2013
     462       0.2015
     464       0.2024
     466       0.2096
     468       0.2069
     470       0.2168
     472       0.2104
     474       0.2037
     476       0.2097
     478       0.2101
     480       0.2098
     482       0.2136
     484       0.2044
     486       0.1998
     488       0.2064
     490       0.2032
     492       0.2074
     494       0.2057
     496       0.2028
     498       0.2061
     500       0.1678
