#Frame      BB_to_ref
      10       0.6808
      20       0.6718
      30       0.6683
      40       0.7151
      50       0.6746
      60       0.6477
      70       0.6515
      80       0.6774
      90       0.6677
     100       0.6575
     110       0.6738
     120       0.6745
     130       0.7135
     140       0.7196
     150       0.6329
     160       0.6727
     170       0.7377
     180       0.6718
     190       0.7529
     200       0.6823
     210       0.6752
     220       0.6592
     230       0.6737
     240       0.7040
     250       0.6729
     260       0.6097
     270       0.6998
     280       0.6969
     290       0.7556
     300       0.7036
     310       0.6910
     320       0.6718
     330       0.7223
     340       0.6928
     350       0.6941
     360       0.7321
     370       0.6846
     380       0.6664
     390       0.7119
     400       0.6764
     410       0.6566
     420       0.6653
     430       0.6802
     440       0.6769
     450       0.6665
     460       0.7000
     470       0.6735
     480       0.7210
     490       0.7464
     500       0.7206
     510       0.6875
     520       0.6858
     530       0.6979
     540       0.7330
     550       0.7151
     560       0.6801
     570       0.6434
     580       0.6555
     590       0.7611
     600       0.6303
     610       0.6814
     620       0.6761
     630       0.6403
     640       0.7183
     650       0.6534
     660       0.6522
     670       0.6593
     680       0.6405
     690       0.7024
     700       0.6590
     710       0.6712
     720       0.6656
     730       0.6960
     740       0.7370
     750       0.6842
     760       0.7048
     770       0.6928
     780       0.6537
     790       0.6566
     800       0.6402
     810       0.7083
     820       0.7154
     830       0.7230
     840       0.7183
     850       0.6398
     860       0.6650
     870       0.6398
     880       0.6977
     890       0.6768
     900       0.6697
     910       0.6486
     920       0.6471
     930       0.6829
     940       0.6772
     950       0.6632
     960       0.6952
     970       0.6753
     980       0.6584
     990       0.7210
    1000       0.7033
