#Frame      BB_to_ref
      10       1.8757
      20       1.8139
      30       1.8364
      40       1.9036
      50       1.8958
      60       1.8944
      70       1.9040
      80       1.9937
      90       1.9274
     100       1.9000
     110       1.8404
     120       1.7292
     130       1.9295
     140       1.8138
     150       1.5629
     160       1.6225
     170       1.6234
     180       1.5136
     190       1.6303
     200       1.6528
     210       1.6073
     220       1.6400
     230       1.5378
     240       1.6421
     250       1.6893
     260       1.7013
     270       1.5772
     280       1.5453
     290       1.4843
     300       1.5653
     310       1.7511
     320       1.5889
     330       1.6443
     340       1.6177
     350       1.5938
     360       1.6373
     370       1.7337
     380       1.5709
     390       1.5603
     400       1.5402
     410       1.5920
     420       1.5628
     430       1.6039
     440       1.6329
     450       1.6480
     460       1.6024
     470       1.5297
     480       1.6152
     490       1.5431
     500       1.7328
     510       1.7511
     520       1.6016
     530       1.4813
     540       1.4950
     550       1.3973
     560       1.4466
     570       1.5005
     580       1.4924
     590       1.5410
     600       1.5360
     610       1.4780
     620       1.4679
     630       1.5613
     640       1.5235
     650       1.4745
     660       1.6118
     670       1.6258
     680       1.7140
     690       1.5265
     700       1.5178
     710       1.5081
     720       1.5562
     730       1.6732
     740       1.6084
     750       1.4652
     760       1.5243
     770       1.5490
     780       1.5492
     790       1.5847
     800       1.5482
     810       1.6426
     820       1.6007
     830       1.6035
     840       1.4099
     850       1.3801
     860       1.3905
     870       1.4020
     880       1.4960
     890       1.5296
     900       1.4817
     910       1.3932
     920       1.6017
     930       1.6205
     940       1.7219
     950       1.8243
     960       1.7173
     970       1.7040
     980       1.6070
     990       1.6048
    1000       1.5025
    1010       1.4487
    1020       1.4129
    1030       1.4612
    1040       1.4357
    1050       1.4504
    1060       1.4619
    1070       1.4727
    1080       1.4923
    1090       1.5527
    1100       1.5402
    1110       1.5976
    1120       1.5589
    1130       1.5417
    1140       1.3996
    1150       1.4020
    1160       1.3984
    1170       1.3399
    1180       1.4981
    1190       1.5037
    1200       1.4275
    1210       1.4622
    1220       1.5921
    1230       1.5845
    1240       1.5914
    1250       1.5009
    1260       1.5450
    1270       1.6137
    1280       1.4710
    1290       1.5169
    1300       1.5959
    1310       1.6069
    1320       1.4695
    1330       1.4082
    1340       1.4605
    1350       1.5186
    1360       1.5128
    1370       1.6602
    1380       1.6176
    1390       1.6900
    1400       1.5973
    1410       1.5796
    1420       1.5336
    1430       1.6263
    1440       1.5989
    1450       1.4836
    1460       1.5905
    1470       1.5811
    1480       1.6601
    1490       1.6620
    1500       1.6860
    1510       1.5714
    1520       1.6704
    1530       1.6496
    1540       1.5922
    1550       1.6557
    1560       1.5511
    1570       1.4302
    1580       1.6568
    1590       1.7367
    1600       1.4717
    1610       1.5190
    1620       1.5696
    1630       1.7024
    1640       1.6499
    1650       1.5784
    1660       1.5453
    1670       1.5359
    1680       1.5076
    1690       1.4727
    1700       1.5005
    1710       1.5185
    1720       1.6332
    1730       1.8015
    1740       1.7874
    1750       1.6950
    1760       1.8486
    1770       1.7019
    1780       1.6560
    1790       1.6771
    1800       1.6091
    1810       1.6819
    1820       1.8268
    1830       1.7238
    1840       1.7643
    1850       1.6568
    1860       1.3828
    1870       1.5580
    1880       1.4542
    1890       1.5189
    1900       1.5986
    1910       1.5255
    1920       1.5276
    1930       1.5855
    1940       1.5851
    1950       1.6705
    1960       1.6960
    1970       1.7070
    1980       1.7053
    1990       1.6860
    2000       1.7221
    2010       1.7095
    2020       1.5956
    2030       1.5817
    2040       1.6052
    2050       1.6486
    2060       1.7255
    2070       1.7203
    2080       1.7435
    2090       1.6672
    2100       1.7038
    2110       1.7231
    2120       1.5919
    2130       1.4692
    2140       1.3068
    2150       1.5428
    2160       1.7663
    2170       1.7249
    2180       1.8462
    2190       1.8953
    2200       1.9207
    2210       1.8412
    2220       1.8383
    2230       1.7499
    2240       1.9658
    2250       1.8299
    2260       1.7766
    2270       1.8130
    2280       1.7674
    2290       1.7752
    2300       1.8797
    2310       1.8560
    2320       1.7713
    2330       1.8191
    2340       1.7331
    2350       1.6987
    2360       1.6669
    2370       1.7054
    2380       1.6311
    2390       1.6411
    2400       1.4301
    2410       1.5187
    2420       1.4417
    2430       1.3499
    2440       1.2710
    2450       1.3147
    2460       1.3212
    2470       1.3837
    2480       1.4180
    2490       1.2558
    2500       1.2454
    2510       1.3288
    2520       1.3715
    2530       1.3524
    2540       1.4107
    2550       1.4951
    2560       1.4488
    2570       1.4392
    2580       1.4040
    2590       1.3262
    2600       1.3573
    2610       1.3302
    2620       1.3885
    2630       1.2515
    2640       1.1979
    2650       1.1925
    2660       1.2494
    2670       1.2509
    2680       1.2192
    2690       1.2087
    2700       1.2671
    2710       1.2589
    2720       1.4766
    2730       1.4647
    2740       1.4533
    2750       1.3094
    2760       1.4244
    2770       1.4907
    2780       1.4049
    2790       1.4150
    2800       1.4734
    2810       1.3218
    2820       1.2771
    2830       1.3484
    2840       1.2525
    2850       1.2980
    2860       1.2240
    2870       1.2818
    2880       1.2625
    2890       1.3138
    2900       1.2418
    2910       1.2722
    2920       1.2064
    2930       1.2333
    2940       1.2545
    2950       1.0998
    2960       1.1147
    2970       1.1133
    2980       1.1465
    2990       1.1375
    3000       1.0192
    3010       1.1031
    3020       1.0841
    3030       1.0723
    3040       1.1893
    3050       1.2324
    3060       1.1723
    3070       1.2314
    3080       1.1878
    3090       1.3101
    3100       1.1462
    3110       1.1975
    3120       1.1383
    3130       1.2800
    3140       1.2607
    3150       1.2424
    3160       1.2567
    3170       1.1608
    3180       1.1621
    3190       1.1584
    3200       1.0935
    3210       1.1569
    3220       1.1699
    3230       1.2362
    3240       1.3373
    3250       1.4286
    3260       1.4885
    3270       1.5348
    3280       1.5227
    3290       1.5403
    3300       1.6115
    3310       1.6917
    3320       1.7821
    3330       1.6672
    3340       1.7935
    3350       1.6834
    3360       1.7552
    3370       1.7185
    3380       1.6671
    3390       1.6868
    3400       1.6887
    3410       1.6236
    3420       1.5271
    3430       1.4800
    3440       1.5985
    3450       1.3975
    3460       1.2536
    3470       1.5174
    3480       1.4766
    3490       1.5216
    3500       1.5241
    3510       1.6272
    3520       1.4824
    3530       1.3066
    3540       1.3341
    3550       1.5075
    3560       1.8275
    3570       1.9451
    3580       1.7969
    3590       1.7616
    3600       1.8815
    3610       1.7365
    3620       1.6075
    3630       1.6445
    3640       1.6044
    3650       1.5814
    3660       1.5808
    3670       1.5312
    3680       1.6518
    3690       1.5832
    3700       1.6548
    3710       1.6600
    3720       1.5831
    3730       1.6030
    3740       1.6736
    3750       1.6887
    3760       1.6735
    3770       1.7506
    3780       1.9191
    3790       2.1228
    3800       1.9195
    3810       1.8746
    3820       1.9397
    3830       1.8962
    3840       1.9446
    3850       1.8562
    3860       1.9244
    3870       2.0090
    3880       2.0771
    3890       2.1782
    3900       2.1484
    3910       2.1891
    3920       2.1653
    3930       2.1951
    3940       2.0405
    3950       2.0603
    3960       2.0930
    3970       2.1373
    3980       2.1210
    3990       2.1602
    4000       2.1285
    4010       2.1356
    4020       2.1152
    4030       2.1013
    4040       2.0426
    4050       2.2085
    4060       2.2022
    4070       2.1504
    4080       2.1231
    4090       2.1076
    4100       2.0404
    4110       2.0275
    4120       2.1427
    4130       2.1331
    4140       2.1843
    4150       1.9001
    4160       1.8879
    4170       1.9060
    4180       1.9935
    4190       2.1534
    4200       2.0932
    4210       2.0781
    4220       2.0552
    4230       2.1801
    4240       2.1336
    4250       2.2091
    4260       2.0510
    4270       2.1584
    4280       2.2553
    4290       2.1802
    4300       2.1634
    4310       2.1376
    4320       2.2009
    4330       2.1421
    4340       2.2321
    4350       2.2486
    4360       2.1713
    4370       2.1953
    4380       2.2496
    4390       2.1633
    4400       2.3004
    4410       2.0963
