#Frame     3.5[lower]   3.5[upper]
       1            0            1
       2            0            1
       3            0            1
       4            0            1
       5            0            1
       6            0            1
       7            0            1
       8            0            0
       9            0            1
      10            0            1
      11            0            0
      12            0            0
      13            0            0
      14            0            1
      15            0            0
      16            0            0
      17            0            1
      18            0            2
      19            0            1
      20            0            1
      21            0            1
      22            0            0
      23            0            1
      24            0            1
      25            0            1
      26            0            1
      27            0            1
      28            0            1
      29            0            1
      30            0            0
      31            0            0
      32            0            0
      33            0            1
      34            0            0
      35            0            1
      36            0            1
      37            0            0
      38            0            0
      39            0            0
      40            0            1
      41            0            0
      42            0            0
      43            0            0
      44            0            2
      45            0            0
      46            0            0
      47            0            0
      48            0            0
      49            0            1
      50            0            0
      51            0            1
      52            0            0
      53            0            0
      54            0            2
      55            0            1
      56            0            0
      57            0            1
      58            0            0
      59            0            0
      60            0            0
      61            0            1
      62            0            0
      63            0            0
      64            0            0
      65            0            0
      66            0            0
      67            0            0
      68            0            1
      69            0            2
      70            0            1
      71            0            0
      72            0            1
      73            0            0
      74            0            0
      75            0            1
      76            0            1
      77            0            0
      78            0            0
      79            0            0
      80            0            1
      81            0            1
      82            0            2
      83            0            0
      84            0            0
      85            0            0
      86            0            0
      87            0            1
      88            0            1
      89            0            1
      90            0            2
      91            0            1
      92            0            1
      93            0            0
      94            0            1
      95            0            0
      96            0            0
      97            0            1
      98            0            1
      99            0            1
     100            0            1
     101            0            1
     102            0            2
     103            0            1
     104            0            1
     105            0            1
     106            0            0
     107            0            1
     108            0            2
     109            0            0
     110            0            1
     111            0            0
     112            0            1
     113            0            1
     114            0            0
     115            0            0
     116            0            0
     117            0            0
     118            0            0
     119            0            0
     120            0            0
     121            0            0
     122            0            0
     123            0            0
     124            0            0
     125            0            0
     126            0            2
     127            0            1
     128            0            0
     129            0            0
     130            0            0
     131            0            0
     132            0            0
     133            0            0
     134            0            0
     135            0            0
     136            0            0
     137            0            0
     138            0            0
     139            0            1
     140            0            0
     141            0            0
     142            0            0
     143            0            0
     144            0            1
     145            0            1
     146            0            0
     147            0            1
     148            0            1
     149            0            1
     150            0            0
     151            0            1
     152            0            0
     153            0            0
     154            0            2
     155            0            0
     156            0            1
     157            0            1
     158            0            0
     159            0            1
     160            0            1
     161            0            0
     162            0            0
     163            0            1
     164            0            2
     165            0            1
     166            0            0
     167            0            1
     168            0            0
     169            0            1
     170            0            0
     171            0            0
     172            0            2
     173            0            0
     174            0            0
     175            0            1
     176            0            0
     177            0            0
     178            0            0
     179            0            0
     180            0            0
     181            0            0
     182            0            0
     183            0            0
     184            0            1
     185            0            0
     186            0            1
     187            0            1
     188            0            0
     189            0            1
     190            0            0
     191            0            1
     192            0            1
     193            0            0
     194            0            0
     195            0            1
     196            0            1
     197            0            0
     198            0            0
     199            0            0
     200            0            0
     201            0            0
     202            0            1
     203            0            0
     204            0            0
     205            0            0
     206            0            0
     207            0            0
     208            0            0
     209            0            0
     210            0            0
     211            0            0
     212            0            0
     213            0            1
     214            0            0
     215            0            0
     216            0            2
     217            0            1
     218            0            0
     219            0            1
     220            0            1
     221            0            1
     222            0            0
     223            0            0
     224            0            0
     225            0            0
     226            0            0
     227            0            0
     228            0            1
     229            0            1
     230            0            0
     231            0            2
     232            0            0
     233            0            0
     234            0            2
     235            0            1
     236            0            1
     237            0            1
     238            0            0
     239            0            2
     240            0            0
     241            0            0
     242            0            1
     243            0            0
     244            0            0
     245            0            0
     246            0            1
     247            0            1
     248            0            0
     249            0            0
     250            0            0
     251            0            1
     252            0            0
     253            0            0
     254            0            1
     255            0            2
     256            0            1
     257            0            1
     258            0            1
     259            0            1
     260            0            1
     261            0            2
     262            0            1
     263            0            0
     264            0            1
     265            0            1
     266            0            0
     267            0            1
     268            0            1
     269            0            1
     270            0            0
     271            0            0
     272            0            0
     273            0            0
     274            0            0
     275            0            1
     276            0            0
     277            0            2
     278            0            0
     279            0            0
     280            0            1
     281            0            0
     282            0            1
     283            0            0
     284            0            1
     285            0            0
     286            0            0
     287            0            1
     288            0            2
     289            0            1
     290            0            1
     291            0            1
     292            0            1
     293            0            0
     294            0            1
     295            0            0
     296            0            1
     297            0            0
     298            0            1
     299            0            0
     300            0            0
     301            0            0
     302            0            0
     303            0            0
     304            0            0
     305            0            0
     306            0            0
     307            0            0
     308            0            0
     309            0            0
     310            0            1
     311            0            1
     312            0            1
     313            0            0
     314            0            0
     315            0            1
     316            0            0
     317            0            0
     318            0            1
     319            0            0
     320            0            0
     321            0            1
     322            0            0
     323            0            0
     324            0            0
     325            0            1
     326            0            0
     327            0            0
     328            0            1
     329            0            1
     330            0            1
     331            0            0
     332            0            0
     333            0            0
     334            0            1
     335            0            0
     336            0            1
     337            0            1
     338            0            1
     339            0            1
     340            0            0
     341            0            0
     342            0            1
     343            0            1
     344            0            1
     345            0            0
     346            0            0
     347            0            1
     348            0            0
     349            0            0
     350            0            0
     351            0            2
     352            0            0
     353            0            1
     354            0            1
     355            0            2
     356            0            0
     357            0            0
     358            0            1
     359            0            0
     360            0            0
     361            0            0
     362            0            0
     363            0            1
     364            0            0
     365            0            1
     366            0            0
     367            0            0
     368            0            2
     369            0            0
     370            0            0
     371            0            1
     372            0            1
     373            0            0
     374            0            0
     375            0            2
     376            0            0
     377            0            0
     378            0            0
     379            0            0
     380            0            0
     381            0            0
     382            0            1
     383            0            0
     384            0            0
     385            0            0
     386            0            0
     387            0            0
     388            0            0
     389            0            0
     390            0            0
     391            0            0
     392            0            1
     393            0            1
     394            0            1
     395            0            1
     396            0            1
     397            0            0
     398            0            0
     399            0            2
     400            0            1
     401            0            0
     402            0            2
     403            0            0
     404            0            1
     405            0            1
     406            0            1
     407            0            1
     408            0            1
     409            0            1
     410            0            1
     411            0            1
     412            0            2
     413            0            0
     414            0            1
     415            0            1
     416            0            0
     417            0            2
     418            0            0
     419            0            0
     420            0            1
     421            0            0
     422            0            1
     423            0            0
     424            0            1
     425            0            1
     426            0            0
     427            0            0
     428            0            2
     429            0            1
     430            0            1
     431            0            1
     432            0            1
     433            0            1
     434            0            0
     435            0            1
     436            0            0
     437            0            0
     438            0            0
     439            0            0
     440            0            1
     441            0            0
     442            0            0
     443            0            1
     444            0            1
     445            0            0
     446            0            0
     447            0            1
     448            0            0
     449            0            0
     450            0            1
     451            0            0
     452            0            0
     453            0            0
     454            0            0
     455            0            1
     456            0            0
     457            0            1
     458            0            0
     459            0            0
     460            0            0
     461            0            0
     462            0            1
     463            0            0
     464            0            1
     465            0            0
     466            0            1
     467            0            1
     468            0            1
     469            0            1
     470            0            1
     471            0            2
     472            0            1
     473            0            1
     474            0            1
     475            0            0
     476            0            1
     477            0            1
     478            0            1
     479            0            1
     480            0            0
     481            0            0
     482            0            0
     483            0            1
     484            0            1
     485            0            0
     486            0            1
     487            0            1
     488            0            1
     489            0            1
     490            0            1
     491            0            0
     492            0            0
     493            0            0
     494            0            0
     495            0            0
     496            0            1
     497            0            1
     498            0            0
     499            0            0
     500            0            0
     501            0            0
     502            0            0
     503            0            0
     504            0            1
     505            0            0
     506            0            1
     507            0            0
     508            0            0
     509            0            1
     510            0            1
     511            0            1
     512            0            1
     513            1            2
     514            0            0
     515            0            1
     516            0            1
     517            0            2
     518            0            0
     519            0            0
     520            0            0
     521            0            1
     522            0            1
     523            1            2
     524            0            1
     525            1            2
     526            0            1
     527            1            1
     528            1            1
     529            0            2
     530            1            2
     531            1            2
     532            1            1
     533            1            2
     534            1            2
     535            1            2
     536            1            1
     537            1            1
     538            1            3
     539            1            2
     540            1            2
     541            1            2
     542            1            2
     543            1            1
     544            1            2
     545            1            1
     546            1            1
     547            1            2
     548            1            2
     549            1            2
     550            1            2
     551            1            1
     552            1            1
     553            1            2
     554            1            1
     555            1            1
     556            1            1
     557            1            2
     558            1            2
     559            0            1
     560            0            1
     561            0            1
     562            0            0
