#Frame     3.5[lower]   3.5[upper]
       1            1            1
       2            0            2
       3            0            3
       4            0            3
       5            0            3
       6            0            1
       7            0            3
       8            0            3
       9            0            2
      10            0            2
      11            0            1
      12            0            4
      13            0            4
      14            0            3
      15            0            3
      16            1            2
      17            0            3
      18            0            4
      19            0            3
      20            0            3
      21            0            3
      22            0            4
      23            0            3
      24            0            2
      25            0            4
      26            0            2
      27            0            3
      28            0            2
      29            0            3
      30            0            3
      31            0            2
      32            0            2
      33            0            2
      34            1            3
      35            0            2
      36            1            3
      37            0            2
      38            0            2
      39            0            2
      40            0            1
      41            1            3
      42            0            4
      43            0            4
      44            1            3
      45            0            2
      46            0            2
      47            0            2
      48            0            2
      49            0            2
      50            0            3
      51            0            4
      52            0            3
      53            0            2
      54            0            3
      55            0            2
      56            0            2
      57            0            2
      58            0            2
      59            1            2
      60            0            4
      61            0            3
      62            0            3
      63            0            3
      64            0            3
      65            0            3
      66            0            2
      67            0            3
      68            0            2
      69            0            3
      70            1            3
      71            0            3
      72            0            1
      73            0            1
      74            0            2
      75            0            3
      76            0            2
      77            0            2
      78            1            2
      79            1            1
      80            0            2
      81            0            1
      82            1            2
      83            0            2
      84            0            3
      85            0            1
      86            0            2
      87            0            2
      88            0            4
      89            1            3
      90            1            3
      91            0            1
      92            1            2
      93            0            3
      94            1            5
      95            0            3
      96            0            4
      97            0            3
      98            0            3
      99            1            2
     100            1            1
     101            1            3
     102            1            2
     103            1            2
     104            1            2
     105            1            2
     106            0            3
     107            0            2
     108            1            3
     109            0            2
     110            0            2
     111            0            2
     112            0            2
     113            0            2
     114            0            3
     115            0            2
     116            0            2
     117            0            2
     118            0            2
     119            0            3
     120            0            3
     121            0            2
     122            0            3
     123            0            2
     124            0            3
     125            0            2
     126            0            3
     127            0            3
     128            0            2
     129            0            3
     130            0            3
     131            0            3
     132            0            3
     133            0            1
     134            0            1
     135            0            2
     136            0            1
     137            1            2
     138            0            3
     139            0            3
     140            0            2
     141            0            3
     142            0            3
     143            0            4
     144            0            4
     145            0            3
     146            0            2
     147            0            2
     148            0            3
     149            0            2
     150            0            1
     151            1            2
     152            1            2
     153            0            2
     154            0            3
     155            0            2
     156            0            2
     157            0            3
     158            0            2
     159            0            3
     160            0            2
     161            0            2
     162            0            3
     163            0            3
     164            0            2
     165            0            2
     166            0            1
     167            0            2
     168            1            2
     169            0            2
     170            0            3
     171            0            3
     172            0            3
     173            0            3
     174            0            2
     175            0            2
     176            0            3
     177            0            2
